JCVD (2008);Action|Drama|Thriller;NoTags
Cinderella (1997);Children|Fantasy|Musical|Romance;NoTags
Crows Zero (Kurôzu zero) (2007);Action;NoTags
Krabat (2008);Drama|Fantasy;NoTags
Camp Rock (2008);Comedy|Musical|Romance;NoTags
Farscape: The Peacekeeper Wars (2004);Action|Adventure|Sci-Fi;NoTags
Saw V (2008);Crime|Horror|Thriller;NoTags
Sex Drive (2008);Comedy;NoTags
The Island (2006);Drama|Mystery;NoTags
Beverly Hills Chihuahua (2008);Adventure|Children|Comedy;NoTags
Tattooed Life (Irezumi ichidai) (1965);Crime|Drama;NoTags
Class, The (Entre les murs) (2008);Drama;NoTags
Splinter (2008);Action|Horror|Thriller;NoTags
Australia (2008);Adventure|Drama|War|Western;NoTags
Bolt (2008);Action|Adventure|Animation|Children|Comedy;NoTags
Milk (2008);Drama;NoTags
Twilight (2008);Drama|Fantasy|Romance|Thriller;audience intelligence underestimated|boring|chick flick|overrated|Teen movie
Children, The (2008);Horror;NoTags
Transporter 3 (2008);Action|Adventure|Crime|Thriller;NoTags
Four Christmases (2008);Comedy;NoTags
Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008);Drama|War;childish naivity|friendship
Fireproof (2008);Drama|Romance;NoTags
Igor (2008);Animation|Comedy;NoTags
Dinotopia (2002);Adventure|Fantasy;NoTags
Hunger (2008);Drama;NoTags
Punisher: War Zone (2008);Action|Crime|Drama|Thriller;NoTags
Shrek the Halls (2007);Adventure|Animation|Comedy|Fantasy;NoTags
Pervert's Guide to Cinema, The (2006);Documentary;NoTags
Wallace and Gromit in 'A Matter of Loaf and Death' (2008);Animation|Comedy;NoTags
Day the Earth Stood Still, The (2008);Drama|Sci-Fi|Thriller|IMAX;NoTags
Che: Part One (2008);Drama|War;NoTags
Che: Part Two (2008);Drama|War;NoTags
Doubt (2008);Drama|Mystery;NoTags
Gran Torino (2008);Crime|Drama;NoTags
Frost/Nixon (2008);Drama;NoTags
Reader, The (2008);Drama|Romance;NoTags
Sword of the Stranger (Sutorejia: Mukô hadan) (2007);Action|Adventure|Animation;NoTags
Seven Pounds (2008);Drama;NoTags
Wrestler, The (2008);Drama;NoTags
Curious Case of Benjamin Button, The (2008);Drama|Fantasy|Mystery|Romance;NoTags
Yes Man (2008);Comedy;NoTags
Valkyrie (2008);Drama|Thriller|War;NoTags
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007);Animation|Drama|Romance;NoTags
War of the Worlds (2005);Action|Sci-Fi;NoTags
Ben X (2007);Drama;NoTags
Bedtime Stories (2008);Adventure|Children|Comedy;NoTags
Choke (2008);Comedy|Drama;NoTags
Revolutionary Road (2008);Drama|Romance;NoTags
Blackadder Back & Forth (1999);Comedy;NoTags
Blackadder's Christmas Carol (1988);Comedy;NoTags
Dear Zachary: A Letter to a Son About His Father (2008);Documentary;NoTags
Wild Child (2008);Drama|Romance;NoTags
Defiance (2008);Drama|Thriller|War;NoTags
Zeitgeist: Addendum (2008);Documentary;NoTags
Marley & Me (2008);Comedy|Drama;NoTags
Ponyo (Gake no ue no Ponyo) (2008);Adventure|Animation|Children|Fantasy;NoTags
General Died at Dawn, The (1936);Adventure|Crime|Thriller;NoTags
Earthsea (Legend of Earthsea) (2004);Adventure|Drama|Fantasy;NoTags
Ip Man (2008);Action|Drama|War;NoTags
Tale of Despereaux, The (2008);Adventure|Animation|Children|Comedy|Fantasy;NoTags
Bride Wars (2009);Comedy|Romance;NoTags
Gamers, The: Dorkness Rising (2008);Action|Adventure|Comedy|Fantasy;NoTags
Mesrine: Killer Instinct (L'instinct de mort) (2008);Action|Crime|Drama|Thriller;NoTags
My Bloody Valentine 3-D (2009);Horror|Thriller;NoTags
Battle in Seattle (2007);Action|Drama;NoTags
Timecrimes (Cronocrímenes, Los) (2007);Sci-Fi|Thriller;NoTags
Fire and Ice (2008);Adventure|Fantasy;NoTags
Underworld: Rise of the Lycans (2009);Action|Fantasy|Horror|Thriller;NoTags
Inkheart (2008);Adventure|Fantasy;NoTags
Revenge of the Nerds III: The Next Generation (1992);Comedy;NoTags
Revenge of the Nerds IV: Nerds in Love (1994);Comedy|Romance;NoTags
Paul Blart: Mall Cop (2009);Action|Comedy|Crime;NoTags
Notorious (2009);Drama|Musical;NoTags
Uninvited, The (2009);Drama|Horror|Mystery|Thriller;NoTags
Outlander (2008);Action|Adventure|Sci-Fi;NoTags
Eden Lake (2008);Horror|Thriller;NoTags
Coraline (2009);Animation|Fantasy|Thriller;claymation|creepy|dark|dark fairy tale|Surreal|Tim Burton
Push (2009);Sci-Fi|Thriller;NoTags
International, The (2009);Drama|Thriller;NoTags
He's Just Not That Into You (2009);Comedy|Drama|Romance;NoTags
Dead Like Me: Life After Death (2009);Comedy|Fantasy;NoTags
Futurama: Into the Wild Green Yonder (2009);Action|Animation|Comedy|Sci-Fi;NoTags
Frontière(s) (2007);Drama|Horror|Thriller;NoTags
11th Hour, The (2007);Documentary;NoTags
Afro Samurai: Resurrection (2009);Animation;NoTags
Departures (Okuribito) (2008);Drama;NoTags
My Name Is Bruce (2007);Comedy|Horror;NoTags
Funny People (2009);Comedy|Drama;NoTags
Berlin Calling (2008);Comedy|Drama;NoTags
Nuremberg (2000);Drama|War;NoTags
Away We Go (2009);Comedy|Drama|Romance;NoTags
Divo, Il (2008);Drama;NoTags
Friday the 13th (2009);Horror;NoTags
Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008);Action|Adventure|Comedy|Western;NoTags
Pink Panther 2, The (2009);Adventure|Comedy|Mystery;NoTags
Rock-A-Doodle (1991);Adventure|Animation|Children|Musical;NoTags
Dr. Horrible's Sing-Along Blog (2008);Comedy|Drama|Musical|Sci-Fi;joss whedon|Nathan Fillion|Neil Patrick Harris|parody
Cottage, The (2008);Comedy|Crime|Horror|Thriller;NoTags
I Love You, Man (2009);Comedy;Andy Samberg|bromance|bromantic|comedy|Jaime Pressly|Jason Segel|masculinity|Paul Rudd
Dance of the Dead (2008);Adventure|Comedy|Horror;NoTags
Haunting in Connecticut, The (2009);Horror|Thriller;NoTags
Duplicity (2009);Crime|Romance|Thriller;NoTags
Knowing (2009);Action|Drama|Mystery|Sci-Fi|Thriller;NoTags
Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009);Crime|Drama|Mystery|Thriller;NoTags
Sunshine Cleaning (2008);Comedy|Drama;NoTags
Kung Fu Panda: Secrets of the Furious Five (2008);Action|Animation|Children|Comedy;NoTags
Echelon Conspiracy (2009);Action|Mystery|Thriller;NoTags
Monsters vs. Aliens (2009);Animation|Sci-Fi|IMAX;NoTags
Baader Meinhof Komplex, Der (2008);Action|Crime|Drama|Thriller;NoTags
Big Stan (2007);Comedy;NoTags
Strictly Sexual (2008);Comedy|Drama|Romance;NoTags
Anvil! The Story of Anvil (2008);Documentary|Musical;NoTags
Observe and Report (2009);Action|Comedy;Seth Rogen
Adventureland (2009);Comedy|Drama;NoTags
Confessions of a Shopaholic (2009);Comedy|Romance;NoTags
The Butterfly Effect 3: Revelations (2009);Drama|Fantasy|Sci-Fi|Thriller;NoTags
Man on the Flying Trapeze (1935);Comedy;NoTags
Fast & Furious (Fast and the Furious 4, The) (2009);Action|Crime|Drama|Thriller;NoTags
In the Loop (2009);Comedy;NoTags
Pirate Radio (2009);Comedy|Drama;NoTags
17 Again (2009);Comedy|Drama;NoTags
Inglourious Basterds (2009);Action|Drama|War;black comedy|Brad Pitt|Christoph Waltz|Quentin Tarantino|satire
State of Play (2009);Crime|Drama|Thriller;NoTags
Damned United, The (2009);Drama;NoTags
Crank: High Voltage (2009);Action|Comedy|Crime;NoTags
Moon (2009);Drama|Mystery|Sci-Fi|Thriller;2001-like|Sci-fi|solitude
Young Victoria, The (2009);Drama|Romance;NoTags
X-Men Origins: Wolverine (2009);Action|Sci-Fi|Thriller;comic book|bad plot|comic book|hugh jackman|Ryan Reynolds|too many characters
Sin Nombre (2009);Crime|Drama|Thriller;NoTags
Star Trek (2009);Action|Adventure|Sci-Fi|IMAX;future|lack of development|lack of story|quick cuts|sci-fi|Simon Pegg|space|space travel|time travel
Great Buck Howard, The (2008);Comedy;NoTags
Flatfoot on the Nile (Piedone d'Egitto) (1980);Action|Comedy|Crime;NoTags
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009);Action|Drama|War;NoTags
Earth (2007);Documentary;NoTags
Stanley Kubrick: A Life in Pictures (2001);Documentary;NoTags
Crossing Over (2009);Drama;NoTags
Angels & Demons (2009);Crime|Drama|Mystery|Thriller;NoTags
Scorpio (1973);Action|Drama|Thriller;NoTags
Balls Out: Gary the Tennis Coach (2009);Comedy;NoTags
Powder Blue (2009);Drama;NoTags
Fanboys (2009);Adventure|Comedy|Drama;NoTags
Terminator Salvation (2009);Action|Adventure|Sci-Fi|Thriller;artificial intelligence|bad acting|bad plot|bad script|Christian Bale|FIGHTING THE SYSTEM|franchise|new composer|post-apocalyptic|robots|sci-fi|sequel
Night at the Museum: Battle of the Smithsonian (2009);Action|Comedy|IMAX;NoTags
Were the World Mine (2008);Adventure|Fantasy|Musical|Romance;NoTags
Brothers Bloom, The (2008);Adventure|Comedy|Crime|Romance;Adrien Brody|con artists|funny|interesting characters|Mark Ruffalo|Rachel Weisz
Paisan (Paisà) (1946);Drama|War;NoTags
I Do: How to Get Married and Stay Single (Prête-moi ta main) (2006);Comedy|Romance;NoTags
Soloist, The (2009);Drama|Musical;NoTags
Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997);Action|Animation|Mystery|Sci-Fi;Recap
Drag Me to Hell (2009);Comedy|Horror;NoTags
Up (2009);Adventure|Animation|Children|Drama;adventure|Bechdel Test:Fail|cartoon|children|computer animation|divorce|dogs|dreams|Pixar|bittersweet|emotional|heartbreaking|touching
Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono) (2005);Action|Adventure|Animation|Drama;NoTags
Fired Up (2009);Comedy;NoTags
In the Electric Mist (2009);Drama|Mystery;NoTags
Hangover, The (2009);Comedy|Crime;casino|comedy|funny|hotel|Las Vegas
Killshot (2008);Action|Crime|Drama|Thriller;NoTags
Antichrist (2009);Drama|Fantasy;NoTags
Sweeney Todd (2006);Crime|Drama|Horror|Thriller;NoTags
Boy Eats Girl (2005);Comedy|Horror;NoTags
Marius and Jeanette (Marius et Jeannette) (1997);Comedy|Drama|Romance;NoTags
Ernest Rides Again (1993);Children|Comedy;NoTags
Special (2006);Drama|Fantasy;NoTags
Dead Snow (Død snø) (2009);Action|Adventure|Comedy|Horror;NoTags
Land of the Lost (2009);Action|Adventure|Comedy|Sci-Fi;NoTags
Imagine That (2009);Comedy|Drama|Fantasy;NoTags
Taking of Pelham 1 2 3, The (2009);Crime|Drama|Thriller;NoTags
Stoning of Soraya M., The (2008);Crime|Drama;NoTags
Proposal, The (2009);Comedy|Romance;NoTags
Year One (2009);Adventure|Comedy;NoTags
Land That Time Forgot, The (1975);Adventure|Sci-Fi;NoTags
Garfield's Pet Force (2009);Animation;NoTags
Hurt Locker, The (2008);Action|Drama|Thriller|War;war
Breakfast with Scot (2007);Drama|Romance;NoTags
Limits of Control, The (2009);Crime|Drama|Film-Noir;NoTags
Raiders of the Lost Ark: The Adaptation (1989);Action|Adventure|Thriller;NoTags
Transformers: Revenge of the Fallen (2009);Action|Adventure|Sci-Fi|IMAX;bad plot|Michael Bay|needed more autobots|plot holes|ridiculous|Shia LaBeouf|stop using useless characters for filler
Home (2009);Documentary;NoTags
Whatever Works (2009);Comedy|Romance;NoTags
Ghosts of Girlfriends Past (2009);Comedy|Fantasy|Romance;NoTags
Public Enemies (2009);Crime|Drama|Thriller;NoTags
Ice Age: Dawn of the Dinosaurs (2009);Action|Adventure|Animation|Children|Comedy|Romance;NoTags
Prison Break: The Final Break (2009);Action|Drama|Thriller;NoTags
Daria: Is It College Yet? (2002);Animation|Comedy;NoTags
My Sister's Keeper (2009);Drama;NoTags
Hood of Horror (2006);Comedy|Drama|Horror;NoTags
Watchmen: Tales of the Black Freighter (2009);Action|Adventure|Animation|Horror;NoTags
Days of Summer (2009);Comedy|Drama|Romance;artistic|Funny|humorous|inspiring|intelligent|quirky|romance|Zooey Deschanel
Brüno (Bruno) (2009);Comedy;NoTags
Librarian, The: The Curse of the Judas Chalice (2008);Action|Adventure|Fantasy;NoTags
Harry Potter and the Half-Blood Prince (2009);Adventure|Fantasy|Mystery|Romance|IMAX;NoTags
Roots (1977);Drama|War;NoTags
Eichmann (2007);Drama|War;NoTags
Open Water 2: Adrift (2006);Drama|Thriller;NoTags
Imaginarium of Doctor Parnassus, The (2009);Drama|Fantasy;NoTags
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008);Documentary;NoTags
Humpday (2009);Comedy;NoTags
Polytechnique (2009);Crime|Drama;NoTags
Orphan (2009);Drama|Horror|Mystery|Thriller;NoTags
Ugly Truth, The (2009);Comedy|Drama|Romance;NoTags
Collector, The (2009);Crime|Horror|Thriller;NoTags
Perfect Getaway, A (2009);Horror|Thriller;NoTags
District 9 (2009);Mystery|Sci-Fi|Thriller;intelligent sci-fi
Julie & Julia (2009);Comedy|Drama|Romance;NoTags
Obsessed (2009);Crime|Drama|Thriller;NoTags
Race to Witch Mountain (2009);Adventure|Children|Fantasy|Sci-Fi|Thriller;NoTags
Hannah Montana: The Movie (2009);Comedy|Drama|Musical|Romance;NoTags
G.I. Joe: The Rise of Cobra (2009);Action|Adventure|Sci-Fi|Thriller;NoTags
12 Rounds (2009);Action|Thriller;NoTags
Max Manus (2008);Action|Drama|War;NoTags
Winds of the Wasteland (1936);Western;NoTags
Lost in Austen (2008);Drama|Fantasy|Romance|Sci-Fi;NoTags
Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007);Action|Animation|Sci-Fi;NoTags
Deal, The (2008);Comedy;NoTags
Goods: Live Hard, Sell Hard, The (2009);Comedy;NoTags
Time Traveler's Wife, The (2009);Drama|Romance|Sci-Fi;NoTags
I Can't Think Straight (2007);Drama|Romance;NoTags
Miss March (2009);Comedy;NoTags
I Love You, Beth Cooper (2009);Comedy|Romance;NoTags
Paper Heart (2009);Comedy|Documentary|Drama|Romance;NoTags
G-Force (2009);Action|Adventure|Children|Fantasy;NoTags
Christopher Columbus: The Discovery (1992);Adventure;NoTags
Tetro (2009);Drama|Mystery;NoTags
Bronson (2009);Action|Comedy|Drama|Thriller;NoTags
It Might Get Loud (2008);Documentary;NoTags
My Life in Ruins (2009);Comedy;NoTags
Troll 2 (1990);Fantasy|Horror;NoTags
Taking Woodstock (2009);Comedy;NoTags
If These Walls Could Talk (1996);Drama;NoTags
Halloween II (2009);Horror|Thriller;NoTags
Secret in Their Eyes, The (El secreto de sus ojos) (2009);Crime|Drama|Mystery|Romance|Thriller;NoTags
9 (2009);Adventure|Animation|Sci-Fi;NoTags
Frequently Asked Questions About Time Travel (2009);Comedy|Sci-Fi;NoTags
White Ribbon, The (Das weiße Band) (2009);Drama|Mystery;NoTags
Green Lantern: First Flight (2009);Action|Adventure|Animation|Fantasy|Sci-Fi;NoTags
Most Hated Family in America, The (2007);Documentary;NoTags
Pandorum (2009);Horror|Sci-Fi|Thriller;NoTags
Death of a Cyclist (Muerte de un ciclista) (1955);Drama;NoTags
Men Who Stare at Goats, The (2009);Action|Comedy|Drama;NoTags
Hunt For Gollum, The (2009);Action|Adventure|Fantasy;NoTags
Jennifer's Body (2009);Comedy|Horror|Sci-Fi|Thriller;NoTags
Informant!, The (2009);Comedy|Crime|Drama|Thriller;NoTags
Extract (2009);Comedy;NoTags
Final Destination, The (Final Destination 4) (Final Destination in 3-D, The) (2009);Horror|Thriller;NoTags
Gamer (2009);Action|Sci-Fi|Thriller;NoTags
Cloudy with a Chance of Meatballs (2009);Animation|Children|Fantasy|IMAX;NoTags
Tyler Perry's I Can Do Bad All by Myself (2009);Comedy|Drama;NoTags
Food, Inc. (2008);Documentary;NoTags
Attack of the 50 Foot Woman (1958);Comedy|Sci-Fi;NoTags
Thirst (Bakjwi) (2009);Drama|Horror;NoTags
Bright Star (2009);Drama|Romance;NoTags
Blood Creek (a.k.a. Town Creek) (2009);Horror;NoTags
Paranormal Activity (2009);Horror|Thriller;NoTags
World's Greatest Dad (2009);Comedy|Drama;NoTags
Still Walking (Aruitemo aruitemo) (2008);Drama;NoTags
Blood of the Beasts (Sang des bêtes, Le) (1949);Documentary|Drama;NoTags
Cove, The (2009);Documentary;NoTags
Serious Man, A (2009);Comedy|Drama;NoTags
City Island (2009);Comedy|Drama;NoTags
Ink (2009);Action|Fantasy|Sci-Fi;NoTags
Metropia (2009);Animation|Sci-Fi;NoTags
Haunted World of El Superbeasto, The (2009);Action|Animation|Comedy|Horror|Thriller;Narrative pisstake
Trick 'r Treat (2007);Comedy|Horror|Thriller;NoTags
Whip It (2009);Comedy|Drama;NoTags
Invention of Lying, The (2009);Comedy;NoTags
Surrogates (2009);Action|Sci-Fi|Thriller;NoTags
Zombieland (2009);Action|Comedy|Horror;Bill Murray|dark comedy|Emma Stone|funny|Jesse Eisenberg|Woody Harrelson
Assassination of a High School President (2008);Comedy|Drama|Mystery;NoTags
Education, An (2009);Drama|Romance;NoTags
Coco Before Chanel (Coco avant Chanel) (2009);Drama;NoTags
Burma VJ: Reporting from a Closed Country (Burma VJ: Reporter i et lukket land) (2008);Documentary;NoTags
Couples Retreat (2009);Comedy|Romance;NoTags
I Sell the Dead (2008);Comedy|Horror;NoTags
Where the Wild Things Are (2009);Adventure|Children|Drama|Fantasy|IMAX;NoTags
Legionnaire (1998);Action|Adventure|Drama|War;NoTags
New York, I Love You (2009);Drama|Romance;NoTags
Law Abiding Citizen (2009);Drama|Thriller;NoTags
Misfortunates, The (De helaasheid der dingen) (2009);Drama;NoTags
Mary and Max (2009);Animation|Comedy|Drama;bittersweet|black comedy|character study|dark comedy|friendship|loneliness|mental illness|philosophical|poignant|quirky|sad|sweet|touching
Spread (2009);Drama|Romance;NoTags
Tournament, The (2009);Action;NoTags
Princess and the Pirate, The (1944);Adventure|Comedy|Romance;NoTags
Aelita: The Queen of Mars (Aelita) (1924);Action|Adventure|Drama|Fantasy|Romance|Sci-Fi|Thriller;NoTags
Up in the Air (2009);Drama|Romance;NoTags
Balance (1989);Animation|Drama|Mystery|Sci-Fi|Thriller;NoTags
Saw VI (2009);Crime|Horror|Mystery|Thriller;NoTags
Love Exposure (Ai No Mukidashi) (2008);Action|Comedy|Drama|Romance;NoTags
Cirque du Freak: The Vampire's Assistant (2009);Action|Adventure|Comedy|Fantasy|Horror|Thriller;NoTags
Boondock Saints II: All Saints Day, The (2009);Action|Crime|Drama|Thriller;NoTags
Black Dynamite (2009);Action|Comedy;NoTags
Welcome to Dongmakgol (2005);Comedy|Drama|War;NoTags
Gentlemen Broncos (2009);Comedy;bad humor
Fantastic Mr. Fox (2009);Adventure|Animation|Children|Comedy|Crime;NoTags
Christmas Carol, A (2009);Animation|Children|Drama|Fantasy|IMAX;NoTags
Battlestar Galactica: The Plan (2009);Action|Adventure|Drama|Sci-Fi;NoTags
Private Lives of Pippa Lee, The (2009);Drama;NoTags
Partly Cloudy (2009);Animation|Children|Comedy|Fantasy;NoTags
2012 (2009);Action|Drama|Sci-Fi|Thriller;NoTags
Precious (2009);Drama;NoTags
Bad Lieutenant: Port of Call New Orleans (2009);Crime|Drama;NoTags
Twilight Saga: New Moon, The (2009);Drama|Fantasy|Horror|Romance|Thriller;NoTags
Derailed (2002);Action|Thriller;NoTags
Messenger, The (2009);Drama|Romance|War;NoTags
Ninja Assassin (2009);Action|Crime|Drama|Thriller;NoTags
Cell 211 (Celda 211) (2009);Action|Drama;NoTags
Patriot, The (1998);Action|Thriller;NoTags
Teenage Mutant Ninja Turtles: Turtles Forever (2009);Action|Adventure|Animation|Comedy|Thriller;NoTags
Merry Madagascar (2009);Animation;NoTags
Brothers (2009);Drama|Thriller|War;NoTags
Garage (2007);Drama;NoTags
Blind Side, The  (2009);Drama;NoTags
Mickey's Once Upon a Christmas (1999);Animation|Comedy|Fantasy;NoTags
Shrink (2009);Drama;NoTags
Old Dogs (2009);Comedy;NoTags
Planet 51 (2009);Adventure|Animation|Children|Comedy|Sci-Fi;NoTags
Earthlings (2006);Documentary;NoTags
Single Man, A (2009);Drama;NoTags
Lovely Bones, The (2009);Crime|Drama|Fantasy|Horror|Thriller;NoTags
Invictus (2009);Drama;NoTags
Princess and the Frog, The (2009);Animation|Children|Fantasy|Musical|Romance;NoTags
Peacekeeper, The (1997);Action;NoTags
Did You Hear About the Morgans? (2009);Comedy|Crime|Drama|Romance;NoTags
Snow White (1916);Fantasy|Romance;NoTags
Alice (2009);Action|Adventure|Fantasy;NoTags
Avatar (2009);Action|Adventure|Sci-Fi|IMAX;bad science|futuristic|graphic design|James Cameron|military|poor dialogue|sci-fi|superficial plot|unoriginal|white guilt|beautiful scenery|graphic design|music|politics|romance|thought-provoking|too long|visually stunning
It's Complicated (2009);Comedy|Romance;NoTags
Sherlock Holmes (2009);Action|Crime|Mystery|Thriller;NoTags
Crazy Heart (2009);Drama|Romance;NoTags
Alvin and the Chipmunks: The Squeakquel (2009);Animation|Children|Comedy|Musical;NoTags
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009);Comedy;NoTags
Sorority Babes in the Slimeball Bowl-O-Rama (1988);Comedy|Horror;NoTags
Pontypool (2008);Horror|Thriller;NoTags
Youth in Revolt (2009);Comedy|Drama|Romance;NoTags
Daybreakers (2010);Action|Drama|Horror|Thriller;NoTags
Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009);Drama;NoTags
Leap Year (2010);Comedy|Romance;NoTags
Book of Eli, The (2010);Action|Adventure|Drama;NoTags
Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009);Action|Crime|Mystery;NoTags
Prophet, A (Un Prophète) (2009);Crime|Drama;NoTags
Staten Island (2009);Crime|Drama;NoTags
Maiden Heist, The (2009);Comedy|Crime;NoTags
Blood: The Last Vampire (2009);Action|Horror|Thriller;NoTags
MacGyver: Lost Treasure of Atlantis (1994);Action|Adventure;NoTags
Pekka ja Pätkä Suezilla (1958);Comedy;NoTags
Bart Got a Room (2008);Comedy|Romance;NoTags
Project A 2 ('A' gai wak juk jap) (1987);Action|Comedy|Crime;NoTags
Robin-B-Hood (Bo bui gai wak) (2006);Action|Comedy|Drama;NoTags
Concert, Le (2009);Comedy|Drama;NoTags
Ninja (2009);Action|Crime|Drama|Thriller;NoTags
Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008);Adventure|Children|Comedy|Fantasy;NoTags
Chaser, The (Chugyeogja) (2008);Crime|Drama|Thriller;NoTags
Meantime (1984);Comedy|Drama;NoTags
Rudolph, the Red-Nosed Reindeer (1964);Adventure|Animation|Children|Fantasy|Musical;NoTags
Dennis the Menace Christmas, A (2007);Comedy;NoTags
Undisputed II: Last Man Standing (2006);Action|Crime|Drama;NoTags
3 Idiots (2009);Comedy|Drama|Romance;NoTags
Legion (2010);Action|Fantasy|Horror|Thriller;NoTags
Stan Helsing (2009);Comedy|Horror;NoTags
Peter Pan (1960);Children|Fantasy|Musical;NoTags
Wicked City (Yôjû toshi) (1987);Animation|Fantasy|Horror|Sci-Fi;NoTags
When in Rome (2010);Comedy|Romance;NoTags
Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992);Documentary|Drama;NoTags
Triangle (2009);Drama|Horror|Mystery|Thriller;NoTags
I Love You Phillip Morris (2009);Comedy|Drama|Romance;NoTags
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987);Children|Drama|Romance;NoTags
Temple Grandin (2010);Drama;NoTags
Captain Newman, M.D. (1963);Comedy|Drama|War;NoTags
House of the Devil, The (2009);Horror|Thriller;NoTags
Valentine's Day (2010);Comedy|Romance;NoTags
Wolfman, The (2010);Horror|Thriller;NoTags
Shutter Island (2010);Drama|Mystery|Thriller;insanity|Leonardo DiCaprio|Martin Scorsese|plot twist|psychological|Psychological Thriller|thought-provoking
Persuasion (2007);Drama|Romance;NoTags
Girl Who Played with Fire, The (Flickan som lekte med elden) (2009);Action|Crime|Drama|Mystery|Thriller;NoTags
Percy Jackson & the Olympians: The Lightning Thief (2010);Adventure|Fantasy;NoTags
Cop Out (2010);Action|Comedy|Crime;NoTags
Ghost Writer, The (2010);Drama|Mystery|Thriller;NoTags
Secret of Kells, The (2009);Animation|Fantasy;NoTags
Spy Next Door, The (2010);Action|Children|Comedy;NoTags
Agora (2009);Adventure|Drama|Romance;NoTags
Motherhood (2009);Comedy;NoTags
District 13: Ultimatum (Banlieue 13 - Ultimatum) (2009);Action|Sci-Fi;NoTags
Yes Men Fix the World, The (2009);Documentary;NoTags
Mike Bassett: England Manager (2001);Comedy;NoTags
Crazies, The (2010);Action|Drama|Horror|Sci-Fi|Thriller;NoTags
Dear John (2010);Drama|Romance|War;NoTags
Last Train Home (2009);Documentary|Drama;NoTags
Tooth Fairy (2010);Comedy|Fantasy;NoTags
Gentlemen of Fortune (Dzhentlmeny udachi) (1972);Comedy|Crime|Drama|Mystery;NoTags
[REC]² (2009);Horror|Thriller;NoTags
Room, The (2003);Comedy|Drama|Romance;NoTags
Alice in Wonderland (2010);Adventure|Fantasy|IMAX;NoTags
Town Called Panic, A (Panique au village) (2009);Animation;surreal|whimsical
Green Zone (2010);Action|Drama|Thriller|War;NoTags
From Paris with Love (2010);Action|Crime;NoTags
Dorian Gray (2009);Drama|Horror|Sci-Fi;NoTags
Greenberg (2010);Comedy|Drama;NoTags
She's Out of My League (2010);Comedy;NoTags
Harry Brown (2009);Crime|Drama|Thriller;NoTags
Remember Me (2010);Drama|Romance;NoTags
Burrowers, The (2008);Horror|Thriller|Western;NoTags
Frozen (2010);Drama|Horror|Thriller;NoTags
Generation X (1996);Action|Adventure|Sci-Fi;NoTags
Little Ashes (2008);Drama;NoTags
Our Family Wedding (2010);Comedy;NoTags
Bounty Hunter, The (2010);Action|Comedy|Romance;NoTags
Leaves of Grass (2009);Comedy|Crime|Drama|Thriller;NoTags
Women in Trouble (2009);Comedy;NoTags
Mondo Cane (1962);Documentary;NoTags
Repo Men (2010);Action|Sci-Fi|Thriller;NoTags
Case 39 (2009);Horror|Thriller;NoTags
Oceans (Océans) (2009);Documentary|Drama;NoTags
Slammin' Salmon, The (2009);Comedy;NoTags
Hot Tub Time Machine (2010);Comedy|Sci-Fi;NoTags
Mother (Madeo) (2009);Crime|Drama|Mystery|Thriller;NoTags
How to Train Your Dragon (2010);Adventure|Animation|Children|Fantasy|IMAX;NoTags
Bone Man, The (Der Knochenmann) (2009);Crime|Thriller;NoTags
Micmacs (Micmacs à tire-larigot) (2009);Comedy|Crime;NoTags
Clash of the Titans (2010);Action|Adventure|Drama|Fantasy;NoTags
Kick-Ass (2010);Action|Comedy;NoTags
Date Night (2010);Action|Comedy|Romance;NoTags
Emperor's New Groove 2: Kronk's New Groove, The (2005);Animation|Children|Comedy|Romance;NoTags
Steam of Life (Miesten vuoro) (2010);Documentary;NoTags
Mortadelo & Filemon: The Big Adventure (La gran aventura de Mortadelo y Filemón) (2003);Action|Adventure|Comedy;NoTags
American Drug War: The Last White Hope (2007);Crime|Documentary;NoTags
Runaways, The (2010);Drama|Musical;NoTags
Wild China (2008);Documentary;NoTags
Death at a Funeral (2010);Comedy;NoTags
Valhalla Rising (2009);Action|Drama|War;NoTags
Diary of a Wimpy Kid (2010);Children|Comedy;NoTags
Union: The Business Behind Getting High, The (2007);Comedy|Documentary;NoTags
Disgrace (2008);Drama;NoTags
Losers, The (2010);Action|Adventure|Drama|Mystery|Thriller;NoTags
